Players,Type,Category,Experience,Sold_Price,Base,Set
Rishabh Pant,BAT,Star,Capped,27.0,2.0,SBC
Shreyas Iyer,BAT,Star,Capped,26.75,2.0,SBC
Venkatesh Iyer,AR,Star,Capped,23.75,2.0,SAC
Heinrich Klaasen,BAT,Star,Capped,23.0,2.0,SBC
Virat Kohli,BAT,Star,Capped,21.0,2.0,SBC
Nicholas Pooran,BAT,Star,Capped,21.0,2.0,SBC
Jasprit Bumrah,BOWL,Star,Capped,18.0,2.0,SBwC
Ruturaj Gaikwad,BAT,Star,Capped,18.0,2.0,SBC
Rashid Khan,BOWL,Star,Capped,18.0,2.0,SBwC
Arshdeep Singh,BOWL,Star,Capped,18.0,2.0,SBwC
Yuzvendra Chahal,BOWL,Star,Capped,18.0,2.0,SBwC
Pat Cummins,AR,Star,Capped,18.0,2.0,SAC
Yashasvi Jaiswal,AR,Star,Capped,18.0,2.0,SAC
Ravindra Jadeja,AR,Star,Capped,18.0,2.0,SAC
Axar Patel,AR,Star,Capped,16.5,2.0,SAC
Hardik Pandya,AR,Star,Capped,16.35,2.0,SAC
Rohit Sharma,BAT,Star,Capped,16.3,2.0,SBC
Travis Head,BAT,Established,Capped,14.0,2.0,EBC
Dhruv Jurel,BAT,Established,Capped,14.0,2.0,EBC
KL Rahul,BAT,Established,Capped,14.0,2.0,EBC
Riyan Parag,AR,Established,Capped,14.0,2.0,EAC
Abhishek Sharma,AR,Established,Capped,14.0,2.0,EAC
Kuldeep Yadav,BOWL,Established,Capped,13.25,2.0,EBwC
Rinku Singh,BAT,Established,Capped,13.0,2.0,EBC
Matheesha Pathirana,BOWL,Established,Capped,13.0,2.0,EBwC
Josh Hazlewood,BOWL,Established,Capped,12.5,2.0,EBwC
Jofra Archer,BOWL,Established,Capped,12.5,2.0,EBwC
Trent Boult,BOWL,Established,Capped,12.5,2.0,EBwC
Mohammed Siraj,BOWL,Established,Capped,12.25,2.0,EBwC
Shivam Dube,AR,Established,Capped,12.0,2.0,EAC
Sunil Narine,BOWL,Established,Capped,12.0,2.0,EBwC
Varun Chakravarthy,AR,Established,Capped,12.0,2.0,EAC
Andre Russell,AR,Established,Capped,12.0,2.0,EAC
Mitchell Starc,BOWL,Established,Capped,11.75,2.0,EBwC
Phil Salt,BAT,Established,Capped,11.5,2.0,EBC
Ishan Kishan,BAT,Established,Capped,11.25,2.0,EBC
Shimron Hetmyer,BAT,Established,Capped,11.0,2.0,EBC
Rajat Patidar,BAT,Established,Capped,11.0,2.0,EBC
Marcus Stoinis,AR,Established,Capped,11.0,2.0,EAC
Ravi Bishnoi,BOWL,Established,Capped,11.0,2.0,EBwC
Mayank Yadav,BOWL,Established,Capped,11.0,2.0,EBwC
Ravichandran Ashwin,AR,Established,Capped,9.75,2.0,EAC
Liam Livingstone,AR,Established,Capped,8.75,2.0,EAC
David Miller,BAT,Mid-tier,Capped,7.5,1.5,MBC
Marco Jansen,AR,Mid-tier,Capped,7.0,1.25,MAC
Tushar Deshpande,BOWL,Mid-tier,Capped,6.5,1.0,MBwC
Anrich Nortje,BOWL,Mid-tier,Capped,6.5,2.0,MBwC
Harry Brook,BAT,Mid-tier,Capped,6.25,2.0,MBC
Devon Conway,BAT,Mid-tier,Capped,6.25,2.0,MBC
Nitish Kumar Reddy,AR,Mid-tier,Capped,6.0,1.5,MAC
Krunal Pandya,AR,Mid-tier,Capped,5.75,2.0,MAC
Shashank Singh,AR,Mid-tier,Capped,5.5,1.5,MAC
Wanindu Hasaranga,BOWL,Mid-tier,Capped,5.25,2.0,MBwC
Yash Dayal,BOWL,Mid-tier,Capped,5.0,1.5,MBwC
MS Dhoni,BAT,Mid-tier,Capped,4.0,1.5,MBC
Vijaykumar Vyshak,BOWL,Emerging,Uncapped,1.8,0.3,EmBwU
Deepak Hooda,AR,Emerging,Uncapped,1.7,0.75,EmAU
Mahipal Lomror,AR,Emerging,Uncapped,1.7,0.5,EmAU
Rovman Powell,BAT,Emerging,Capped,1.5,1.5,EmBC
Ajinkya Rahane,BAT,Emerging,Capped,1.5,1.5,EmBC
